,0
1209,37135101
1210,35734102
1211,36038102
1212,37964102
1213,34029101
1214,30724101
1215,18311102
1216,33988101
1217,36142101
1218,15794101
1219,36033101
1220,15617103
1221,30724102
1222,34100101
1223,34316101
1224,34781102
1225,12571105
1226,12722101
1227,31679102
1228,37660101
1229,32810101
1230,34977105
1231,30773102
1232,16679102
1233,31580101
1234,36921101
1235,13348102
1236,18292101
1237,16060101
1238,32625101
1239,35436102
1240,18666102
1241,13585101
1242,13865101
1243,11890102
1244,36134101
1245,37806101
1246,33716101
1247,33201101
1248,17952101
1249,39183101
1250,38680101
1251,35754101
1252,10766102
1253,11357102
1254,38215101
1255,13601103
1256,16341102
1257,30411102
1258,16525102
1259,36991101
1260,33547102
1261,34358102
1262,35486103
1263,32306101
1264,15947101
1265,11710104
1266,15930102
1267,13200101
1268,37488102
1269,34691103
1270,37822101
1271,36589101
1272,30092101
1273,37072101
1274,17579106
1275,32628102
1276,38131101
1277,32266102
1278,33601103
1279,17627102
1280,35695103
1281,15186102
1282,18439101
1283,10761101
1284,16837102
1285,32057101
1286,17810101
1287,17866102
1288,12300101
1289,32844101
1290,16732101
1291,39232101
1292,34425102
1293,31004101
1294,13352102
1295,14232102
1296,37117102
1297,39166102
1298,37061101
1299,37163101
1300,37586101
1301,10397101
1302,10197102
1303,37772101
1304,15464101
1305,15285102
1306,39079102
1307,39225101
1308,14201102
1309,16303101
1310,11364102
1311,30261101
1312,10441101
1313,37517101
1314,39681101
1315,34336101
1316,13385101
1317,34889101
1318,32395101
1319,31482101
1320,16119102
1321,18359102
1322,14308103
1323,34315102
1324,39183103
1325,13337102
1326,39122102
1327,37791101
1328,38523102
1329,36508101
1330,37566101
1331,31384102
1332,16507102
1333,38948103
1334,13828102
1335,34819101
1336,12361102
1337,37779102
1338,17915101
1339,33455101
1340,13152102
1341,37064101
1342,12650101
1343,11808101
1344,18424101
1345,14816102
1346,16630104
1347,38799101
1348,18284102
1349,16518102
1350,16104101
1351,16511101
1352,39274101
1353,18254101
1354,38267102
1355,12381101
1356,34922103
1357,34096102
1358,13614102
1359,11690102
1360,14399102
1361,17511101
1362,14143101
1363,36485101
1364,31039101
1365,18104104
1366,38159101
1367,39183102
1368,13554102
1369,35079102
1370,37482101
1371,13258101
1372,34111101
1373,35408101
1374,12650103
1375,37791102
1376,31364101
1377,16000104
1378,37538104
1379,15619102
1380,35956101
1381,39498102
1382,12530101
1383,10963101
1384,18724101
1385,31771103
1386,12519101
1387,12931101
1388,38964102
1389,35648101
1390,13958102
1391,13838103
1392,30514101
1393,35078102
1394,13694102
1395,18425104
1396,11594101
1397,35617101
1398,12015101
1399,34153101
1400,32125101
1401,38915103
1402,11073101
1403,38420102
1404,39140101
1405,32237102
1406,32280101
1407,35650101
1408,11929102
1409,11678101
1410,13110101
1411,34715102
1412,15782101
1413,32834102
1414,33569101
1415,36878102
1416,15930101
1417,36924102
1418,10732102
1419,17685101
1420,17439101
1421,10181101
1422,17207102
1423,10233102
1424,33919101
1425,13428101
1426,34080102
1427,34858102
1428,31731102
1429,10819101
1430,37872101
1431,38062101
1432,34095102
1433,18043101
1434,30982103
1435,36708103
1436,11625102
1437,32463102
1438,34046101
1439,18223102
1440,17567101
1441,36485105
1442,11333102
1443,30947101
1444,16166101
1445,32358101
1446,31580102
1447,37055102
1448,33978101
1449,13516101
1450,30692102
1451,35037102
1452,11773101
1453,36648101
1454,33668102
1455,32783101
1456,17434102
1457,12470102
1458,13355101
1459,13123101
1460,34935101
1461,15931201
1462,17408102
1463,16728102
1464,32024102
1465,18073101
1466,14066101
1467,32232102
1468,30130101
1469,16125101
1470,32993101
1471,11067102
1472,30812101
1473,31476101
1474,15024102
1475,10305103
1476,32490102
1477,11585101
1478,31992102
1479,32996102
1480,13611101
1481,12281101
1482,16216102
1483,15344101
1484,34373101
1485,35572101
1486,33267101
1487,38759101
1488,11506101
1489,39739101
1490,16220101
1491,38042101
1492,10778103
1493,17452101
1494,33171101
1495,31268102
1496,36925102
1497,39528101
1498,36143102
1499,30235101
1500,35817102
1501,16391103
1502,14770101
1503,34695102
1504,12442101
1505,13117101
1506,18261201
1507,35722101
1508,33319102
1509,34903101
1510,36489101
1511,34644101
1512,34551101
1513,17798101
1514,30639102
1515,12226101
1516,35027101
1517,30525102
1518,12732101
1519,15225101
1520,14664102
1521,32258101
1522,10946102
1523,36845102
1524,36762101
1525,13034102
1526,30041102
1527,32613101
1528,10617102
1529,17208101
1530,38940102
1531,12992101
1532,11317102
1533,39632102
1534,14664101
1535,30773101
1536,11001102
1537,31972101
1538,35289102
1539,10781101
1540,16258101
1541,18356102
1542,30944101
1543,31410104
1544,37450102
1545,38561101
1546,11815101
1547,35477102
1548,18242102
1549,32720102
1550,37727103
1551,17234102
1552,34003102
1553,16529101
1554,34161101
1555,15742101
1556,32110101
1557,36142102
1558,12342103
1559,38220101
1560,34667102
1561,11618105
1562,34427102
1563,17114101
1564,13678102
1565,33742102
1566,34230101
1567,31550101
1568,10793102
1569,39403101
1570,31535101
1571,13944101
1572,17522102
1573,17579101
1574,14725101
1575,36188101
1576,37062101
1577,11403102
1578,16166102
1579,32572101
1580,15711101
1581,13014101
1582,16034101
1583,15177101
1584,17898101
1585,36045101
1586,10944102
1587,38760101
1588,12761102
1589,30442101
1590,34270101
1591,13539101
1592,14675101
1593,14266101
1594,13572102
1595,37404102
1596,18527101
1597,34676102
1598,34454101
1599,11643101
1600,34888102
1601,30101105
1602,39282101
1603,35179102
1604,30771102
1605,14282102
1606,35387102
1607,32112101
1608,32386101
1609,34190101
1610,38581101
1611,38723101
1612,10593101
1613,33527102
1614,36796102
1615,31844102
1616,12504102
1617,36541102
1618,37720102
1619,13385102
1620,36175102
1621,10242102
1622,15679102
1623,33066102
1624,11504103
1625,30139102
1626,30977101
1627,36441101
1628,36915101
1629,35896103
1630,15187102
1631,37660102
1632,36928102
1633,39223101
1634,11151101
1635,13285101
1636,10185101
1637,31854102
1638,16430102
1639,10404101
1640,38730101
1641,37963101
1642,32678101
1643,37450101
1644,14651102
1645,18591101
1646,13403101
1647,18602102
1648,16842102
1649,35741102
1650,16813101
1651,15196101
1652,11978101
1653,32383101
1654,37836106
1655,17439102
1656,17616102
1657,35537102
1658,37067101
1659,33382101
1660,16332101
1661,34631101
1662,18356101
1663,30560102
1664,32593101
1665,34826101
1666,14259101
1667,17531101
1668,14658102
1669,16496101
1670,39392102
1671,34886101
1672,17757102
1673,36989102
1674,16283102
1675,39564101
1676,18359101
1677,17878102
1678,13777101
1679,34056102
1680,36139101
1681,33058101
1682,35356101
1683,31363102
1684,11207101
1685,16892102
1686,34858101
1687,15286101
1688,35043102
1689,14911101
1690,35766101
1691,33843105
1692,31910101
1693,12564102
1694,18571101
1695,30599101
1696,18274103
1697,18104105
1698,18000102
1699,31837102
1700,30539102
1701,10325101
1702,36280101
1703,30657101
1704,12980102
1705,37353101
1706,38205103
1707,38492102
1708,18654102
1709,31016101
