,0
1689,16855101
1690,30573101
1691,33238102
1692,13841101
1693,33818101
1694,33705102
1695,16743101
1696,16960102
1697,34623101
1698,15835101
1699,32083101
1700,32783101
1701,11960103
1702,32485102
1703,11184102
1704,37912101
1705,16827104
1706,10919101
1707,36924102
1708,10899102
1709,32254101
1710,35043102
1711,16842101
1712,37856102
1713,33865101
1714,17737102
1715,35924101
1716,38363101
1717,11363101
1718,11815102
1719,17744101
1720,31883102
1721,36943102
1722,10752102
1723,16999102
1724,30143102
1725,38309101
1726,15923103
1727,35617101
1728,35184102
1729,10798101
1730,36625102
1731,13879101
1732,16729101
1733,31404101
1734,30787102
1735,17790102
1736,30446101
1737,38102102
1738,17430101
1739,30055101
1740,12794101
1741,39644103
1742,38131102
1743,15265102
1744,14806102
1745,16569101
1746,38940102
1747,39348101
1748,10484101
1749,12021102
1750,34484101
1751,32383101
1752,10495101
1753,33935101
1754,10198101
1755,11787101
1756,32683101
1757,13822101
1758,34624102
1759,10293101
1760,33296101
1761,35488102
1762,12922102
1763,12167101
1764,39101102
1765,18620101
1766,36508101
1767,11207102
1768,37014101
1769,33671101
1770,35673101
1771,15748102
1772,32569102
1773,32562101
1774,11863103
1775,16953101
1776,34076102
1777,33207101
1778,16802101
1779,12655106
1780,30241102
1781,31042102
1782,37458101
1783,34358101
1784,14709101
1785,14232102
1786,31089101
1787,36582101
1788,12922103
1789,32612102
1790,16342102
1791,13587101
1792,33472101
1793,35155101
1794,35894101
1795,15838102
1796,39724102
1797,14167102
1798,32039102
1799,38722102
1800,16473102
1801,38678101
1802,38294101
1803,37836105
1804,31580102
1805,31363101
1806,32678103
1807,31652101
1808,36748102
1809,11820101
1810,30074101
1811,36751101
1812,17403101
1813,31530102
1814,34391101
1815,38072101
1816,34644101
1817,15578102
1818,15486102
1819,10159103
1820,32217102
1821,32753101
1822,13722101
1823,15736101
1824,16166102
1825,15707102
1826,14399102
1827,14539102
1828,10197103
1829,10988102
1830,16523101
1831,35949101
1832,12691101
1833,10277102
1834,37412102
1835,16074101
1836,31569101
1837,17120102
1838,18682103
1839,13407101
1840,37547101
1841,14036101
1842,34477101
1843,34281101
1844,35037102
1845,13933101
1846,13533101
1847,14256101
1848,31700101
1849,35465101
1850,35281102
1851,13694102
1852,30101101
1853,18162102
1854,18200101
1855,13561101
1856,15388101
1857,31037101
1858,32720101
1859,13094101
1860,18100101
1861,32122101
1862,36777102
1863,31295102
1864,14766102
1865,12747101
1866,39092102
1867,33656104
1868,34429101
1869,38360101
1870,16254102
1871,31505101
1872,13976103
1873,13614102
1874,34561102
1875,34402101
1876,10396102
1877,15573101
1878,35486103
1879,12935101
1880,36134102
1881,17990101
1882,13883102
1883,30656101
1884,10008101
1885,30683102
1886,16216102
1887,16229102
1888,38729101
1889,18186104
1890,12590103
1891,18292101
1892,14681101
1893,17890102
1894,33544101
1895,15568101
1896,34425102
1897,18058101
1898,33087101
1899,15930101
1900,33275102
1901,10781101
1902,31310102
1903,13286101
1904,12431101
1905,12519102
1906,16137101
1907,31954101
1908,34026102
1909,13976102
1910,30411101
1911,16100101
1912,34034102
1913,35236101
1914,38637101
1915,30118102
1916,37940101
1917,15153102
1918,17047102
1919,38948103
1920,38205102
1921,38509101
1922,37120101
1923,35609101
1924,15366102
1925,18361102
1926,38031101
1927,11185102
1928,17452101
1929,17439102
1930,10552101
1931,37032102
1932,37064101
1933,12519101
1934,31634102
1935,11751101
1936,34692101
1937,18626103
1938,17732101
1939,10206102
1940,33238101
1941,15327101
1942,35116101
1943,38750101
1944,13152102
1945,16845102
1946,13053102
1947,11402101
1948,31219101
1949,17915103
1950,18650101
1951,31085101
1952,12406101
1953,34764102
1954,14010101
1955,13161101
1956,35342101
1957,34733101
1958,10819101
1959,30319104
1960,33108101
1961,15401101
1962,13842101
1963,11793102
1964,30525102
1965,30470101
1966,38994101
1967,34978101
1968,10072102
1969,11739101
1970,30209102
1971,10732101
1972,18375101
1973,17035101
1974,33708102
1975,36612102
1976,12222102
1977,34930101
1978,37836102
1979,30347102
1980,33601101
1981,35572101
1982,37762102
1983,33680101
1984,35326102
1985,12883101
1986,14281102
1987,13257102
1988,36074102
1989,15374106
1990,14815101
1991,12092101
1992,17195101
1993,12171102
1994,32835102
1995,32605102
1996,15626101
1997,17756102
1998,31734102
1999,32237102
