Final,Weight
FALSE,5516.54
10588101,6266.89
FALSE,24274.2
FALSE,21901.15
FALSE,19237.21
FALSE,14878.24
10589105,0
FALSE,11411.18
FALSE,8762.52
FALSE,12316.29
10593101,16417.53
10593102,15995.14
FALSE,18678.68
FALSE,15754.85
FALSE,13298.29
FALSE,9919.41
10597102,10789.18
FALSE,8838.07
FALSE,9744.38
FALSE,10903.82
FALSE,2156.62
FALSE,3074.66
FALSE,2033.88
FALSE,1630.58
FALSE,3222.73
FALSE,1535.2
FALSE,18059.23
FALSE,26607.38
FALSE,0
FALSE,2293.7
FALSE,2171.05
FALSE,1883.74
FALSE,3654.69
FALSE,1463.53
FALSE,0
FALSE,2979.97
FALSE,2806.18
FALSE,5060.17
FALSE,4352.42
10617102,5176.83
FALSE,5075.91
FALSE,5761.28
FALSE,4665.21
FALSE,6228.82
FALSE,4111.55
FALSE,4099.96
FALSE,6852.01
FALSE,7602.1
FALSE,5729.98
FALSE,4867.16
FALSE,5811.61
FALSE,4834.52
FALSE,6370.24
FALSE,7527.35
FALSE,11406.17
FALSE,7386.59
FALSE,6229.58
FALSE,6417.99
FALSE,7224.74
FALSE,7781.78
10632101,29108.48
10632102,29238.04
FALSE,37187.91
FALSE,17047.41
FALSE,2007.01
FALSE,3735.07
FALSE,2871.22
FALSE,1810.99
FALSE,1979.44
FALSE,1837.8
FALSE,4252.5
FALSE,2220.41
FALSE,2248.99
FALSE,1952.11
FALSE,2681.36
FALSE,1800.07
FALSE,5341.25
10637101,31679.18
FALSE,3312.69
10638102,2383.22
FALSE,5443.16
FALSE,2904.4
FALSE,2291.21
FALSE,3165.33
10641101,26929.09
FALSE,0
FALSE,6765.47
FALSE,5800.43
FALSE,8243.01
FALSE,5734.79
FALSE,5383.04
FALSE,5650.91
FALSE,2847.1
FALSE,2103.27
FALSE,2542.48
FALSE,0
FALSE,10556.25
FALSE,10660.52
FALSE,5647.06
FALSE,7026.6
FALSE,7125.61
FALSE,9065.88
FALSE,3952.99
FALSE,3374.91
FALSE,3616.96
FALSE,4866.17
FALSE,6154.97
FALSE,3236.96
10651101,5157.18
10651102,4187.53
FALSE,3232.03
FALSE,9865.82
FALSE,4545.12
FALSE,8442.76
10653101,21487.81
10653102,19228.01
FALSE,26737.9
FALSE,30493.49
10656101,6933.63
FALSE,17713.4
FALSE,15017.87
FALSE,19947.57
FALSE,27073.76
FALSE,5280.03
FALSE,3147.47
FALSE,7719.88
FALSE,10526.62
FALSE,10037.98
FALSE,1489.62
FALSE,1828.52
FALSE,2326.31
FALSE,2112.83
FALSE,2889.94
FALSE,2847.64
FALSE,2892.55
FALSE,3449.98
FALSE,2848.48
FALSE,3959.58
10668101,3017.15
10668102,4001.1
FALSE,4239.82
10668104,5322.18
FALSE,2939.66
FALSE,3898.66
FALSE,5486.14
FALSE,4221.18
FALSE,3746.89
FALSE,3914.62
FALSE,7369.04
FALSE,3366.18
10671101,5667.51
FALSE,4453.41
FALSE,13867.33
FALSE,18425.22
FALSE,14824.19
FALSE,16914.87
10674101,15733.79
10674102,16723.17
FALSE,20820.92
FALSE,21142.78
FALSE,3730.91
FALSE,7167.36
FALSE,8828.14
FALSE,9233.78
FALSE,11731.66
FALSE,5266.87
FALSE,7127.95
FALSE,9120.03
FALSE,9013.37
FALSE,9186.35
FALSE,8178.66
FALSE,13703.26
FALSE,13192.85
FALSE,3792.75
FALSE,6239.24
FALSE,5065.87
FALSE,7248.6
FALSE,4504.26
FALSE,3158.27
FALSE,5788.19
FALSE,4172.12
FALSE,4172.12
10685101,8461.44
10686101,6333.68
FALSE,6215.24
FALSE,10688.37
10687102,11447.57
FALSE,12737.3
FALSE,2259.26
FALSE,3574.77
FALSE,3038.57
FALSE,1283.63
FALSE,3967.7
10690201,1881.61
FALSE,2650.64
FALSE,2087.81
FALSE,1877.21
10690205,0
FALSE,6357.18
FALSE,2385.7
FALSE,4493.91
FALSE,6184.62
10692101,17007.05
10692102,15623.65
FALSE,3851.87
FALSE,3631.04
FALSE,0
FALSE,0
FALSE,0
FALSE,0
FALSE,1762.92
FALSE,1916.02
FALSE,1693.56
FALSE,2526.48
FALSE,1762.21
10695101,21524.42
10696101,12221.15
10696102,12279.54
10698101,5112.66
FALSE,5828.85
FALSE,8494.74
FALSE,6785
FALSE,7348.41
FALSE,14711.6
FALSE,15261.7
FALSE,16725.21
10705101,6842.02
FALSE,6436.51
FALSE,6045.19
FALSE,6484.64
10705105,8865.65
FALSE,9580.06
FALSE,7371.72
FALSE,3130.31
FALSE,12744.99
FALSE,7235.66
FALSE,11556.64
FALSE,38379.22
10708101,9005.9
10708102,7446.34
FALSE,7847.6
FALSE,18722.11
FALSE,18732.63
FALSE,18009.76
FALSE,15154.44
FALSE,13104.99
FALSE,15707.57
10711101,22154.7
10712101,8250.47
10713102,8730.72
10715101,7043.78
FALSE,5886.63
FALSE,21764.11
FALSE,17223.02
FALSE,13674.65
FALSE,0
FALSE,13326.68
FALSE,11848.8
FALSE,11667.86
FALSE,11667.86
FALSE,0
FALSE,2035.05
FALSE,2677.19
FALSE,2677.19
FALSE,3160.38
FALSE,3170.15
FALSE,3170.15
FALSE,3170.15
FALSE,0
10722101,4862.78
FALSE,3664.37
FALSE,3718.99
FALSE,3365.96
FALSE,6347.54
FALSE,3809.79
FALSE,4974.28
FALSE,5112.81
FALSE,5589.07
FALSE,11909.1
FALSE,17854.37
FALSE,12885
FALSE,7361.71
FALSE,10837.02
FALSE,3483.43
FALSE,3136.29
FALSE,4484.28
FALSE,11168.72
FALSE,14747.37
FALSE,14747.74
FALSE,13689.88
FALSE,2515.75
FALSE,2788.03
FALSE,3340.43
FALSE,2851.52
FALSE,0
FALSE,1779.84
FALSE,4040.82
10732101,18823.99
10732102,21729.84
10736101,13069.76
10736102,16468.5
FALSE,10500.6
FALSE,13585.2
FALSE,2851.2
FALSE,2555.38
FALSE,6407.61
10742101,3420.39
FALSE,2730.69
FALSE,3159.93
FALSE,3056.12
FALSE,1955.42
FALSE,2469.52
FALSE,2039.3
FALSE,798.57
FALSE,2181.63
FALSE,8864.56
10745101,5211.78
10746101,14353.1
FALSE,16606.43
FALSE,15758.77
FALSE,22423.85
FALSE,13936.75
10751101,4477.27
10751102,4100.68
10752101,11802.41
10752102,14027.15
FALSE,11483.38
FALSE,7333.07
FALSE,5454.79
FALSE,4512.33
FALSE,2065.76
FALSE,4065.14
FALSE,6413.85
10756101,5250.45
FALSE,14340.97
FALSE,10140.84
FALSE,12743.17
10761101,5118.32
10762101,27404.5
10762102,25689.88
FALSE,3262.03
10766102,1794.33
FALSE,4857.64
FALSE,4326.39
FALSE,0
FALSE,4766.42
FALSE,2973.95
FALSE,3217.49
FALSE,6232.19
FALSE,4632.72
FALSE,6491.6
FALSE,4446.99
FALSE,4794.77
FALSE,3797.62
FALSE,8139.87
FALSE,5037.52
10771101,1995.55
FALSE,2053.72
FALSE,1155.07
FALSE,1680.99
FALSE,13484.56
FALSE,12504.95
FALSE,15480.84
FALSE,9117.76
10778101,17748.02
10778102,17930.13
10778103,18868.31
FALSE,15666.29
FALSE,10173.08
FALSE,11506.35
10781101,28859.78
FALSE,20314.85
10782101,1391.66
10782102,2135.29
10782103,2040.9
FALSE,1729.65
FALSE,1729.65
FALSE,0
10783101,14489.56
FALSE,4490.18
FALSE,3406.07
FALSE,4544.04
FALSE,4537.05
FALSE,4612.54
FALSE,3868.65
10787101,5567.03
10787102,8161.09
10787103,8114.64
FALSE,5132.14
10789101,16170.53
10789102,15407.73
FALSE,2997.91
FALSE,3598.84
FALSE,3126.27
FALSE,0
10793101,28175.56
10793102,27804.45
FALSE,23068.17
FALSE,7760
FALSE,7503.45
FALSE,5626.88
FALSE,6988.47
10797101,13359.64
10797102,10434.53
FALSE,11341.66
FALSE,0
FALSE,0
10798101,5997.12
FALSE,5651.16
FALSE,4783.32
FALSE,4006.55
FALSE,9574.27
FALSE,7962.09
10801101,11411.02
10803101,4415.68
10803102,17612.33
FALSE,3064.57
